policy_id,customer_id
MSI-MOT-1001,CUST-001
MSI-MOT-1002,CUST-002
MSI-MOT-1002,CUST-003
MSI-MOT-1003,CUST-004
MSI-MOT-1004,CUST-003
MSI-MOT-1004,CUST-005
MSI-MOT-1005,CUST-006
MSI-MED-2001,CUST-005
MSI-MED-2001,CUST-007
MSI-MED-2002,CUST-003
MSI-MED-2002,CUST-008
MSI-MED-2002,CUST-009
MSI-MED-2003,CUST-010
MSI-MED-2004,CUST-007
MSI-MED-2004,CUST-011
MSI-MED-2005,CUST-011
MSI-MED-2005,CUST-012
MSI-LIF-3001,CUST-013
MSI-LIF-3002,CUST-012
MSI-LIF-3002,CUST-014
MSI-LIF-3003,CUST-015
MSI-LIF-3004,CUST-014
MSI-LIF-3004,CUST-002
MSI-LIF-3005,CUST-016
